,Link,Preco,Localizacao,Area_Util_m2,Quartos,Suites,Vagas_Garagem
327,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-116-bloco-h-1207854,11580230.0,BRASÍLIA - ASA SUL,428,4.0,,
328,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-411-1232659,799000.0,BRASÍLIA - ASA NORTE,79,4.0,1.0,
329,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-416-1233516,900000.0,BRASÍLIA - ASA SUL,112,3.0,,
330,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-211-1208953,2050000.0,BRASÍLIA - ASA SUL,126,3.0,1.0,1.0
331,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-310-1167886,2195000.0,BRASÍLIA - ASA NORTE,208,3.0,1.0,1.0
332,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-310-bloco-h-1201962,2198000.0,BRASÍLIA - NOROESTE,144,4.0,1.0,3.0
333,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-114-1228061,2650000.0,BRASÍLIA - ASA NORTE,127,3.0,3.0,2.0
334,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-211-bloco-b-1160429,2050000.0,BRASÍLIA - ASA SUL,126,3.0,1.0,1.0
335,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-208-1228067,1250000.0,BRASÍLIA - ASA NORTE,85,2.0,1.0,1.0
336,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-208-1171548,1830000.0,BRASÍLIA - ASA NORTE,124,3.0,1.0,2.0
337,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-111-1190970,1690000.0,BRASÍLIA - ASA NORTE,135,3.0,2.0,1.0
338,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sudoeste-brasilia-df-qrsw-7-bloco-a-14-1222995,850000.0,BRASÍLIA - SUDOESTE,60,2.0,,
339,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-407-bloco-a-1225137,990000.0,BRASÍLIA - ASA SUL,85,3.0,1.0,
340,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-215-1225100,849000.0,BRASÍLIA - ASA NORTE,60,2.0,,1.0
341,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-110-1137264,1780000.0,BRASÍLIA - ASA NORTE,112,2.0,1.0,1.0
342,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-bloco-i-1225732,2150000.0,BRASÍLIA - ASA NORTE,159,2.0,1.0,2.0
343,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-211-bloco-e-1225615,1500000.0,BRASÍLIA - ASA NORTE,74,2.0,1.0,2.0
344,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-lago-norte-brasilia-df-ca-05-1226385,235000.0,BRASÍLIA - LAGO NORTE,24,1.0,,
345,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-416-bloco-n-1225600,920000.0,BRASÍLIA - ASA NORTE,76,3.0,,
346,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-205-bloco-e-1218085,1660000.0,BRASÍLIA - ASA NORTE,143,4.0,1.0,1.0
347,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-311-1223869,2900000.0,BRASÍLIA - ASA SUL,208,4.0,2.0,3.0
348,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-norte-brasilia-df-sqn-214-bloco-b-1224979,1345000.0,BRASÍLIA - ASA NORTE,77,2.0,1.0,1.0
349,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-310-1224748,1690000.0,BRASÍLIA - ASA NORTE,135,4.0,1.0,1.0
350,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-norte-brasilia-df-sqn-211-1220389,3099000.0,BRASÍLIA - ASA NORTE,280,5.0,2.0,1.0
351,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-sgan-912-modulo-c-1142139,310000.0,BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0
352,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-noroeste-brasilia-df-sqnw-311-bloco-e-1209250,588000.0,BRASÍLIA - NOROESTE,34,1.0,,1.0
353,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-403-1224061,880000.0,BRASÍLIA - ASA NORTE,79,3.0,,
354,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-asa-norte-brasilia-df-sqn-211-bloco-i-1157813,2150000.0,BRASÍLIA - ASA NORTE,160,1.0,1.0,2.0
355,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-sudoeste-brasilia-df-ccsw-2-lote-3-1216926,1380000.0,BRASÍLIA - SUDOESTE,79,3.0,1.0,1.0
356,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-106-bloco-c-1171603,3488265.0,BRASÍLIA - NOROESTE,208,4.0,4.0,4.0
357,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-405-1219440,950000.0,BRASÍLIA - ASA SUL,67,3.0,1.0,1.0
358,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-203-1218718,482480.0,BRASÍLIA - ASA NORTE,60,1.0,,
359,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-203-1218717,327200.0,BRASÍLIA - ASA NORTE,41,1.0,,
360,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-203-1218716,327200.0,BRASÍLIA - ASA NORTE,41,1.0,,
361,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-asa-norte-brasilia-df-cln-203-1218715,289360.0,BRASÍLIA - ASA NORTE,36,1.0,,
362,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-sudoeste-brasilia-df-sqsw-302-bloco-d-1217233,1295000.0,BRASÍLIA - SUDOESTE,76,2.0,1.0,1.0
363,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-noroeste-brasilia-df-sqnw-111-1100846,7800000.0,BRASÍLIA - NOROESTE,522,4.0,4.0,5.0
364,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-norte-brasilia-df-sqn-307-1217018,1680000.0,BRASÍLIA - ASA NORTE,125,3.0,1.0,1.0
