localizacao,area_util,quartos,suites,qntd_vagas,preco
BRASÍLIA - NOROESTE,50,2.0,3.0,1.0,920204.0
BRASÍLIA - SUDOESTE,120,3.0,1.0,1.0,1670000.0
BRASÍLIA - NOROESTE,300,3.0,3.0,4.0,5900000.0
BRASÍLIA - NOROESTE,246,3.0,3.0,3.0,3408211.0
BRASÍLIA - ASA NORTE,42,1.0,1.0,1.0,410000.0
BRASÍLIA - NOROESTE,192,3.0,1.0,3.0,2190000.0
BRASÍLIA - ASA SUL,157,4.0,1.0,2.0,2590000.0
BRASÍLIA - ASA SUL,156,3.0,1.0,2.0,1660000.0
BRASÍLIA - PARK SUL,45,1.0,1.0,2.0,850000.0
BRASÍLIA - NOROESTE,122,3.0,3.0,2.0,2075000.0
BRASÍLIA - ASA NORTE,23,1.0,1.0,1.0,335000.0
BRASÍLIA - NOROESTE,125,3.0,3.0,2.0,2253153.0
BRASÍLIA - NOROESTE,166,3.0,3.0,3.0,3189400.0
BRASÍLIA - NOROESTE,590,4.0,4.0,4.0,9500000.0
BRASÍLIA - SUDOESTE,288,3.0,2.0,3.0,3990000.0
BRASÍLIA - ASA NORTE,34,1.0,1.0,1.0,450000.0
BRASÍLIA - NOROESTE,173,2.0,2.0,2.0,2500000.0
BRASÍLIA - SUDOESTE,190,4.0,2.0,2.0,2850000.0
BRASÍLIA - PARK SUL,47,2.0,2.0,1.0,727216.0
BRASÍLIA - SUDOESTE,249,4.0,2.0,3.0,3190000.0
BRASÍLIA - NOROESTE,33,1.0,1.0,1.0,510000.0
BRASÍLIA - NOROESTE,77,2.0,1.0,2.0,1547769.0
BRASÍLIA - NOROESTE,406,3.0,3.0,5.0,6000000.0
BRASÍLIA - NOROESTE,169,2.0,1.0,3.0,2450000.0
BRASÍLIA - PARK SUL,117,3.0,3.0,2.0,1730000.0
BRASÍLIA - SUDOESTE,257,4.0,4.0,3.0,4800000.0
BRASÍLIA - SUDOESTE,172,4.0,3.0,2.0,2590000.0
BRASÍLIA - NOROESTE,154,3.0,3.0,3.0,2490000.0
BRASÍLIA - NOROESTE,87,2.0,1.0,3.0,1670000.0
BRASÍLIA - ASA SUL,119,3.0,1.0,1.0,1750000.0
BRASÍLIA - PARK SUL,167,3.0,3.0,4.0,2890086.0
BRASÍLIA - NOROESTE,169,2.0,1.0,3.0,2275000.0
BRASÍLIA - ASA NORTE,71,2.0,1.0,1.0,870000.0
BRASÍLIA - ASA NORTE,326,4.0,4.0,3.0,4100000.0
BRASÍLIA - SUDOESTE,62,2.0,1.0,2.0,850000.0
BRASÍLIA - SUDOESTE,195,4.0,3.0,2.0,3300000.0
BRASÍLIA - ASA NORTE,75,2.0,1.0,2.0,1590000.0
BRASÍLIA - ASA NORTE,102,3.0,1.0,2.0,1690000.0
BRASÍLIA - ASA SUL,163,3.0,1.0,1.0,2300000.0
BRASÍLIA - ASA SUL,157,3.0,1.0,1.0,2800000.0
BRASÍLIA - SUDOESTE,200,4.0,2.0,1.0,2460000.0
BRASÍLIA - ASA NORTE,80,3.0,1.0,1.0,950000.0
BRASÍLIA - SUDOESTE,279,4.0,4.0,4.0,4900000.0
BRASÍLIA - NOROESTE,168,2.0,1.0,3.0,3300000.0
BRASÍLIA - PARK SUL,103,3.0,1.0,2.0,1498000.0
BRASÍLIA - NOROESTE,170,4.0,2.0,3.0,2950000.0
BRASÍLIA - SUDOESTE,195,4.0,3.0,2.0,3300000.0
BRASÍLIA - ASA SUL,72,2.0,1.0,1.0,770000.0
BRASÍLIA - NOROESTE,292,4.0,4.0,4.0,4695000.0
BRASÍLIA - NOROESTE,163,4.0,4.0,3.0,2690000.0
BRASÍLIA - ASA SUL,237,4.0,2.0,2.0,3190000.0
BRASÍLIA - PARK SUL,51,1.0,1.0,1.0,690000.0
BRASÍLIA - PARK SUL,253,4.0,2.0,3.0,3485000.0
BRASÍLIA - NOROESTE,115,3.0,2.0,2.0,2100000.0
BRASÍLIA - ASA SUL,428,4.0,1.0,1.0,11580230.0
BRASÍLIA - ASA NORTE,79,4.0,1.0,1.0,799000.0
BRASÍLIA - ASA SUL,112,3.0,1.0,1.0,900000.0
BRASÍLIA - ASA SUL,126,3.0,1.0,1.0,2050000.0
BRASÍLIA - ASA NORTE,208,3.0,1.0,1.0,2195000.0
BRASÍLIA - NOROESTE,144,4.0,1.0,3.0,2198000.0
BRASÍLIA - ASA NORTE,127,3.0,3.0,2.0,2650000.0
BRASÍLIA - ASA SUL,126,3.0,1.0,1.0,2050000.0
BRASÍLIA - ASA NORTE,85,2.0,1.0,1.0,1250000.0
BRASÍLIA - ASA NORTE,124,3.0,1.0,2.0,1830000.0
BRASÍLIA - ASA NORTE,135,3.0,2.0,1.0,1690000.0
BRASÍLIA - SUDOESTE,60,2.0,2.0,2.0,850000.0
BRASÍLIA - ASA SUL,85,3.0,1.0,1.0,990000.0
BRASÍLIA - ASA NORTE,60,2.0,1.0,1.0,849000.0
BRASÍLIA - ASA NORTE,112,2.0,1.0,1.0,1780000.0
BRASÍLIA - ASA NORTE,159,2.0,1.0,2.0,2150000.0
BRASÍLIA - ASA NORTE,74,2.0,1.0,2.0,1500000.0
BRASÍLIA - LAGO NORTE,24,1.0,1.0,1.0,235000.0
BRASÍLIA - ASA NORTE,76,3.0,1.0,1.0,920000.0
BRASÍLIA - ASA NORTE,143,4.0,1.0,1.0,1660000.0
BRASÍLIA - ASA SUL,208,4.0,2.0,3.0,2900000.0
BRASÍLIA - ASA NORTE,77,2.0,1.0,1.0,1345000.0
BRASÍLIA - ASA NORTE,135,4.0,1.0,1.0,1690000.0
BRASÍLIA - ASA NORTE,280,5.0,2.0,1.0,3099000.0
BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0,310000.0
BRASÍLIA - NOROESTE,34,1.0,3.0,1.0,588000.0
BRASÍLIA - ASA NORTE,79,3.0,1.0,1.0,880000.0
BRASÍLIA - ASA NORTE,160,1.0,1.0,2.0,2150000.0
BRASÍLIA - SUDOESTE,79,3.0,1.0,1.0,1380000.0
BRASÍLIA - NOROESTE,208,4.0,4.0,4.0,3488265.0
BRASÍLIA - ASA SUL,67,3.0,1.0,1.0,950000.0
BRASÍLIA - ASA NORTE,60,1.0,1.0,1.0,482480.0
BRASÍLIA - ASA NORTE,41,1.0,1.0,1.0,327200.0
BRASÍLIA - ASA NORTE,41,1.0,1.0,1.0,327200.0
BRASÍLIA - ASA NORTE,36,1.0,1.0,1.0,289360.0
BRASÍLIA - SUDOESTE,76,2.0,1.0,1.0,1295000.0
BRASÍLIA - NOROESTE,522,4.0,4.0,5.0,7800000.0
BRASÍLIA - ASA NORTE,125,3.0,1.0,1.0,1680000.0
BRASÍLIA - SUDOESTE,139,3.0,2.0,3.0,2700000.0
BRASÍLIA - PARK SUL,34,1.0,2.0,1.0,490000.0
BRASÍLIA - ASA NORTE,139,3.0,1.0,1.0,1930000.0
BRASÍLIA - ASA NORTE,167,4.0,1.0,1.0,2099000.0
BRASÍLIA - SUDOESTE,77,3.0,1.0,1.0,1130000.0
BRASÍLIA - ASA NORTE,105,3.0,1.0,1.0,860000.0
BRASÍLIA - ASA NORTE,125,3.0,1.0,1.0,1520000.0
BRASÍLIA - ASA NORTE,46,2.0,1.0,1.0,563000.0
BRASÍLIA - ASA SUL,106,3.0,1.0,1.0,1500000.0
BRASÍLIA - NOROESTE,137,3.0,1.0,3.0,2290000.0
BRASÍLIA - ASA SUL,100,3.0,3.0,1.0,1730000.0
BRASÍLIA - NOROESTE,225,3.0,1.0,3.0,3200000.0
BRASÍLIA - PARK SUL,117,4.0,3.0,2.0,1790000.0
BRASÍLIA - NOROESTE,66,1.0,3.0,2.0,878000.0
BRASÍLIA - ASA SUL,137,3.0,1.0,1.0,1650000.0
BRASÍLIA - ASA NORTE,45,2.0,1.0,1.0,630000.0
BRASÍLIA - ASA NORTE,202,4.0,2.0,2.0,2180000.0
BRASÍLIA - ASA SUL,60,2.0,1.0,1.0,800000.0
BRASÍLIA - ASA NORTE,110,3.0,1.0,1.0,1380000.0
BRASÍLIA - ASA NORTE,194,4.0,4.0,3.0,3675000.0
BRASÍLIA - ASA NORTE,75,2.0,1.0,1.0,870000.0
BRASÍLIA - ASA NORTE,137,3.0,1.0,1.0,1630000.0
BRASÍLIA - ASA NORTE,118,3.0,1.0,1.0,1190000.0
BRASÍLIA - SUDOESTE,24,1.0,1.0,1.0,440000.0
BRASÍLIA - SUDOESTE,194,4.0,3.0,2.0,2490000.0
BRASÍLIA - ASA NORTE,107,3.0,1.0,1.0,1450000.0
BRASÍLIA - ASA NORTE,184,2.0,2.0,1.0,1360000.0
BRASÍLIA - NOROESTE,157,2.0,2.0,3.0,2090000.0
BRASÍLIA - SUDOESTE,130,4.0,1.0,2.0,1690000.0
BRASÍLIA - NOROESTE,303,3.0,3.0,4.0,4500000.0
BRASÍLIA - LAGO NORTE,43,1.0,1.0,1.0,540000.0
BRASÍLIA - ASA NORTE,25,1.0,1.0,1.0,315000.0
BRASÍLIA - ASA SUL,215,4.0,2.0,2.0,2800000.0
BRASÍLIA - ASA SUL,166,3.0,1.0,1.0,1890000.0
BRASÍLIA - NOROESTE,223,4.0,4.0,2.0,3080000.0
BRASÍLIA - ASA SUL,143,3.0,1.0,1.0,1650000.0
BRASÍLIA - SUDOESTE,124,4.0,1.0,2.0,2200000.0
BRASÍLIA - PARK SUL,78,3.0,3.0,2.0,1090000.0
BRASÍLIA - SUDOESTE,70,3.0,2.0,1.0,1060000.0
BRASÍLIA - SUDOESTE,79,1.0,1.0,1.0,1250000.0
BRASÍLIA - NOROESTE,188,3.0,3.0,4.0,3130000.0
BRASÍLIA - SUDOESTE,120,4.0,1.0,2.0,1695000.0
BRASÍLIA - ASA SUL,154,3.0,1.0,1.0,1580000.0
BRASÍLIA - ASA NORTE,53,1.0,1.0,1.0,850000.0
BRASÍLIA - ASA NORTE,31,1.0,1.0,1.0,189000.0
BRASÍLIA - ASA NORTE,121,4.0,1.0,1.0,1395000.0
BRASÍLIA - ASA NORTE,167,4.0,1.0,1.0,2099000.0
BRASÍLIA - ASA SUL,110,3.0,1.0,1.0,1500000.0
BRASÍLIA - NOROESTE,118,3.0,1.0,2.0,2190000.0
BRASÍLIA - SUDOESTE,140,4.0,1.0,2.0,1900000.0
BRASÍLIA - LAGO NORTE,40,1.0,1.0,1.0,479000.0
BRASÍLIA - PARK SUL,75,2.0,2.0,2.0,1020000.0
BRASÍLIA - ASA NORTE,57,2.0,1.0,1.0,689000.0
BRASÍLIA - ASA SUL,112,3.0,1.0,1.0,1545000.0
